City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,malakal,9.5334,31.6605,297.57,85,100,2.57,SS,1689390089
84,kapa'a,22.0752,-159.319,302.33,73,0,5.66,US,1689389922
85,laojunmiao,39.8333,97.7333,299.4,15,2,1.63,CN,1689390090
86,springbok,-29.6643,17.8865,281.31,46,0,1.06,ZA,1689390090
87,lata,40.1629,-8.3327,292.08,97,32,1.43,PT,1689390090
88,bamboo flat,11.7,92.7167,302.2,84,40,5.14,IN,1689390090
89,barra do bugres,-15.0725,-57.1811,288.79,62,12,0.33,BR,1689389907
90,port mathurin,-19.6833,63.4167,296.91,80,100,7.18,MU,1689390091
91,badger,64.8,-147.5333,294.1,52,75,3.6,US,1689390091
92,chambersburg,39.9376,-77.6611,295.8,90,43,0.45,US,1689390013
93,pisco,-13.7,-76.2167,293.18,77,100,2.57,PE,1689390092
94,lubumbashi,-11.6609,27.4794,282.92,79,0,2.08,CD,1689390092
95,barinas,8.6226,-70.2075,295.62,97,100,1.36,VE,1689390092
96,dowlatabad,32.7998,51.6955,289.97,27,0,0.0,IR,1689390092
97,katsuura,35.1333,140.3,298.73,87,100,10.07,JP,1689390093
98,as sulaymaniyah,35.5611,45.4375,294.39,40,0,1.03,IQ,1689390093
99,inarajan village,13.2736,144.7484,304.48,82,74,6.55,GU,1689390093
100,villa aldama,19.6167,-97.2167,285.67,91,22,2.45,MX,1689390094
101,san pedro,14.35,121.0167,303.26,79,75,1.54,PH,1689390094
102,vorgashor,67.5833,63.95,288.44,54,26,2.56,RU,1689390081
103,queenstown,-31.8976,26.8753,279.52,54,92,2.59,ZA,1689390095
104,edinburgh of the seven seas,-37.0676,-12.3116,289.05,93,100,14.92,SH,1689390095
105,san fernando de apure,7.8878,-67.4724,296.08,99,100,1.73,VE,1689390095
106,macapa,0.0389,-51.0664,300.14,94,20,3.6,BR,1689390096
107,kruisfontein,-34.0033,24.7314,286.98,42,100,4.42,ZA,1689390096
108,inyonga,-6.7167,32.0667,286.69,64,15,2.1,TZ,1689390096
109,conde-sur-noireau,48.8488,-0.5521,290.05,93,82,4.86,FR,1689390096
110,st. john's,47.5649,-52.7093,290.81,100,75,5.66,CA,1689389843
111,kimbe,-5.5502,150.1429,302.15,66,85,5.77,PG,1689390097
112,flekkefjord,58.2971,6.6607,288.12,96,100,3.54,NO,1689390097
